Value Research,,,
Generate on: 23-Jul-2020 06:27,,,
,,,
All Equity Funds,,,
,,,
Fund Name,Category,Expense Ratio (%),1 Yr Ret (%)
Axis Capital Builder Fund Series 1 (1540 Days) - Regular Plan,EQ-MLC,1.32,3.03
Axis Capital Builder Fund Series 4 (1582 Days) - Direct Plan,EQ-MLC,NA,1.79
Axis Capital Builder Fund Series 4 (1582 Days) - Regular Plan,EQ-MLC,1.31,0.86
Axis Emerging Opportunities Fund Series 1 (1400 Days) - Direct Plan,EQ-MC,NA,5.16
Axis Emerging Opportunities Fund Series 1 (1400 Days) - Regular Plan,EQ-MC,1.30,4.33
Axis Emerging Opportunities Fund Series 2 (1400 Days) - Direct Plan,EQ-MC,NA,5.14
Axis Emerging Opportunities Fund Series 2 (1400 Days) - Regular Plan,EQ-MC,1.29,4.15
Axis Equity Advantage Fund Series 1 - Direct Plan,EQ-MLC,NA,6.60
Axis Equity Advantage Fund Series 1 - Regular Plan,EQ-MLC,1.29,5.59
Axis Equity Advantage Fund Series 2 - Direct Plan,EQ-MLC,NA,9.69
Axis Equity Advantage Fund Series 2 - Regular Plan,EQ-MLC,1.33,8.93
Axis ESG Equity Fund - Direct Plan,EQ-THEMATIC,0.40,NA
Axis ESG Equity Fund - Regular Plan,EQ-THEMATIC,2.02,NA
Axis Focused 25 Fund,EQ-MLC,2.01,3.56
Axis Focused 25 Fund - Direct Plan,EQ-MLC,0.63,4.81
Axis Growth Opportunities Fund - Direct Plan,EQ-L&MC,0.46,8.72
Axis Growth Opportunities Fund - Regular Plan,EQ-L&MC,2.15,6.82
Axis Long Term Equity Fund,EQ-ELSS,1.73,1.57
Axis Long Term Equity Fund - Direct Plan,EQ-ELSS,0.92,2.37
Axis Midcap Fund,EQ-MC,2.05,10.61
Axis Midcap Fund - Direct Plan,EQ-MC,0.55,12.14
Axis Multicap Fund - Direct Plan,EQ-MLC,0.48,5.71
Axis Multicap Fund - Regular Plan,EQ-MLC,2.07,4.29
Axis Nifty 100 Index Fund - Direct Plan,EQ-LC,0.15,NA
Axis Nifty 100 Index Fund - Regular Plan,EQ-LC,1.00,NA
Axis Nifty ETF - Regular Plan,EQ-LC,0.07,-1.05
Axis Small Cap Fund - Direct Plan,EQ-SC,0.30,4.56
Axis Small Cap Fund - Regular Plan,EQ-SC,2.05,2.87
Baroda Banking and Financial Services Fund,EQ-BANK,2.57,-15.79
Baroda Banking and Financial Services Fund - Direct Plan,EQ-BANK,1.89,-15.17
Baroda ELSS 96 Fund,EQ-ELSS,2.53,-1.19
Baroda ELSS 96 Fund - Direct Plan,EQ-ELSS,1.93,-0.47
Baroda Large Cap Fund,EQ-LC,2.56,1.76
Baroda Large Cap Fund - Direct Plan,EQ-LC,1.85,2.49
Baroda Midcap Fund,EQ-MC,2.52,3.17
Baroda Midcap Fund - Direct Plan,EQ-MC,1.80,4.00
Baroda Multi Cap Fund,EQ-MLC,2.50,-0.60
Baroda Multi Cap Fund - Direct Plan,EQ-MLC,1.80,0.19
BHARAT 22 ETF,EQ-LC,0.01,-26.69
BNP Paribas Focused 25 Equity Fund - Direct Plan,EQ-MLC,1.11,2.60
BNP Paribas Focused 25 Equity Fund - Regular Plan,EQ-MLC,2.47,1.22
BNP Paribas India Consumption Fund - Direct Plan,EQ-Consumption,0.85,11.85
BNP Paribas India Consumption Fund - Regular Plan,EQ-Consumption,2.41,10.09
BNP Paribas Large Cap Fund,EQ-LC,2.36,4.94
BNP Paribas Large Cap Fund - Direct Plan,EQ-LC,1.22,6.07
BNP Paribas Long Term Equity Fund,EQ-ELSS,2.42,4.32
BNP Paribas Long Term Equity Fund - Direct Plan,EQ-ELSS,1.19,5.57
BNP Paribas Midcap Fund,EQ-MC,2.37,2.63
BNP Paribas Midcap Fund - Direct Plan,EQ-MC,0.89,4.08
BNP Paribas Multi Cap Fund,EQ-MLC,2.43,-0.65
BNP Paribas Multi Cap Fund - Direct Plan,EQ-MLC,1.05,0.67
BOI AXA Large & Mid Cap Equity Fund - Direct Plan,EQ-L&MC,1.60,5.10
BOI AXA Large & Mid Cap Equity Fund - Eco Plan,EQ-L&MC,1.83,4.62
BOI AXA Large & Mid Cap Equity Fund - Regular Plan,EQ-L&MC,2.75,3.84
BOI AXA Manufacturing & Infrastructure Fund,EQ-INFRA,2.49,2.12
BOI AXA Manufacturing & Infrastructure Fund - Direct Plan,EQ-INFRA,1.24,3.54
BOI AXA Midcap Tax Fund Series 1 - Direct Plan,EQ-ELSS,0.84,15.90
BOI AXA Midcap Tax Fund Series 1 - Regular Plan,EQ-ELSS,1.54,14.95
BOI AXA Midcap Tax Fund Series 2 - Direct Plan,EQ-ELSS,0.50,10.46
BOI AXA Midcap Tax Fund Series 2 - Regular Plan,EQ-ELSS,1.53,9.26
BOI AXA Multi Cap Fund - Direct Plan,EQ-MLC,NA,NA
BOI AXA Multi Cap Fund - Regular Plan,EQ-MLC,NA,NA
BOI AXA Small Cap Fund - Direct Plan,EQ-SC,0.78,16.25
BOI AXA Small Cap Fund - Regular Plan,EQ-SC,2.59,14.07
BOI AXA Tax Advantage Fund - Direct Plan,EQ-ELSS,1.51,15.42
BOI AXA Tax Advantage Fund - Eco Plan,EQ-ELSS,1.77,14.92
BOI AXA Tax Advantage Fund - Regular Plan,EQ-ELSS,2.56,14.15
Canara Robeco Bluechip Equity Fund - Direct Plan,EQ-LC,1.03,10.28
Canara Robeco Bluechip Equity Fund - Regular Plan,EQ-LC,2.54,8.75
Canara Robeco Consumer Trends Fund - Direct Plan,EQ-Consumption,1.27,9.99
Canara Robeco Consumer Trends Fund - Regular Plan,EQ-Consumption,2.63,8.58
Canara Robeco Emerging Equities Fund - Direct Plan,EQ-L&MC,0.77,6.70
Canara Robeco Emerging Equities Fund - Regular Plan,EQ-L&MC,1.97,5.42
Canara Robeco Equity Diversified Fund - Direct Plan,EQ-MLC,0.79,7.65
Canara Robeco Equity Diversified Fund - Regular Plan,EQ-MLC,2.23,6.23
Canara Robeco Equity Tax Saver Fund - Direct Plan,EQ-ELSS,1.24,7.87
Canara Robeco Equity Tax Saver Fund - Regular Plan,EQ-ELSS,2.28,6.81
Canara Robeco Infrastructure Fund - Direct Plan,EQ-INFRA,1.63,-7.57
Canara Robeco Infrastructure Fund - Regular Plan,EQ-INFRA,2.59,-8.37
Canara Robeco Small Cap Fund - Direct Plan,EQ-SC,0.81,5.08
Canara Robeco Small Cap Fund - Regular Plan,EQ-SC,2.51,3.30
CPSE Exchange Traded Fund,EQ-PSU,0.01,-30.36
DSP 3 Years Close Ended Equity Fund - Direct Plan,EQ-MLC,0.98,11.89
DSP 3 Years Close Ended Equity Fund - Regular Plan,EQ-MLC,1.39,11.30
DSP A.C.E.Fund (Analyst's Conviction Equalized) Series 1 - Direct Plan,EQ-MLC,0.66,12.03
DSP A.C.E.Fund (Analyst's Conviction Equalized) Series 1 - Regular Plan,EQ-MLC,1.34,11.25
DSP A.C.E.Fund (Analyst'S Conviction Equalized) Series 2 - Direct Plan,EQ-MLC,0.68,14.90
DSP A.C.E.Fund (Analyst'S Conviction Equalized) Series 2 - Regular Plan,EQ-MLC,1.34,14.13
DSP Equal Nifty 50 Fund - Direct Plan,EQ-LC,0.37,-7.73
DSP Equal Nifty 50 Fund - Regular Plan,EQ-LC,0.79,-8.16
DSP Equity Fund,EQ-MLC,2.06,5.33
DSP Equity Fund - Direct Plan,EQ-MLC,1.12,6.36
DSP Equity Opportunities Fund,EQ-L&MC,1.98,2.25
DSP Equity Opportunities Fund - Direct Plan,EQ-L&MC,1.00,3.23
DSP Focus Fund,EQ-MLC,2.18,0.83
DSP Focus Fund - Direct Plan,EQ-MLC,1.08,1.93
DSP Global Allocation Fund - Direct Plan,EQ-INTL,1.59,19.99
DSP Global Allocation Fund - Regular Plan,EQ-INTL,2.09,19.41
DSP Healthcare Fund - Direct Plan,EQ-Pharma,1.04,48.35
