,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fund Name,Rating,Analyst's Choice?,Category,1 Year Returns (%),1 Year Returns (growth of 1 lakh),1 Year SIP Returns (%),1 Year SIP Returns (growth of 10k/mth),3 Year Returns (%),3 Year Returns (growth of 1 lakh),3 Year SIP Returns (%),3 Year SIP Returns (growth of 10k/mth),5 Year Returns (%),5 Year Returns (growth of 1 lakh),5 Year SIP Returns (%),5 Year SIP Returns (growth of 10k/mth),10 Year Returns (%),10 Year Returns (growth of 1 lakh),10 Year SIP Returns (%),10 Year SIP Returns (growth of 10k/mth),Expense Ratio (%)
Kotak Standard Multicap Fund Regular Plan,4,Coming Soon,Equity: Multi Cap,-5.42,"94,580",3.18,"1,21,895",2.35,"1,07,213",0.85,"3,64,607",7.19,"1,41,503",5.64,"6,90,505",11.40,"2,94,368",11.75,"22,01,387",1.69
LIC MF Large & Mid Cap Fund - Direct Plan,4,Coming Soon,Equity: Large & MidCap,-2.52,"97,482",-0.67,"1,19,596",2.68,"1,08,256",0.40,"3,62,157",8.11,"1,47,690",6.35,"7,02,610",--,--,--,--,1.00
LIC MF Large & Mid Cap Fund - Regular Plan,4,Coming Soon,Equity: Large & MidCap,-3.97,"96,026",-2.30,"1,18,616",1.11,"1,03,371",-1.07,"3,54,254",6.65,"1,37,967",4.73,"6,74,985",--,--,--,--,2.54
Mirae Asset Emerging Bluechip Fund - Direct Plan,5,Coming Soon,Equity: Large & MidCap,2.35,"1,02,346",11.54,"1,26,796",5.72,"1,18,145",5.65,"3,91,387",12.54,"1,80,500",10.56,"7,79,446",--,--,--,--,0.85
Mirae Asset Emerging Bluechip Fund - Regular Plan,5,Coming Soon,Equity: Large & MidCap,1.33,"1,01,329",10.48,"1,26,181",4.80,"1,15,086",4.66,"3,85,786",11.58,"1,72,929",9.56,"7,60,574",18.18,"5,31,450",18.33,"31,25,974",1.76
Parag Parikh Long Term Equity Fund - Direct Plan,5,Coming Soon,Equity: Multi Cap,13.77,"1,13,773",29.10,"1,36,709",11.45,"1,38,440",12.35,"4,30,939",11.36,"1,71,285",12.89,"8,25,078",--,--,--,--,1.10
Parag Parikh Long Term Equity Fund - Regular Plan,5,Coming Soon,Equity: Multi Cap,12.81,"1,12,805",28.01,"1,36,107",10.67,"1,35,530",11.50,"4,25,807",10.64,"1,65,828",12.10,"8,09,395",--,--,--,--,1.97
Principal Emerging Bluechip Fund - Direct Plan,4,Coming Soon,Equity: Large & MidCap,-0.36,"99,639",5.83,"1,23,462",1.74,"1,05,322",-0.35,"3,58,114",8.08,"1,47,502",5.75,"6,92,299",--,--,--,--,1.01
Principal Emerging Bluechip Fund,4,Coming Soon,Equity: Large & MidCap,-1.47,"98,533",4.69,"1,22,791",0.59,"1,01,767",-1.46,"3,52,188",6.92,"1,39,753",4.53,"6,71,710",12.40,"3,21,867",13.67,"24,37,097",2.14
Principal Focused Multicap Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,3.22,"1,03,220",8.96,"1,25,296",4.68,"1,14,718",4.49,"3,84,819",7.25,"1,41,932",7.41,"7,21,289",--,--,--,--,1.82
